Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Magnetic_x;Magnetic_y;Magnetic_z;
20190504_201850;0.285;1.322;9.704;0.024;0.039;-0.020;-22.740;-7.200;-42.660;
20190504_201850;0.299;1.559;9.620;0.044;0.005;-0.022;-21.120;-6.960;-43.200;
20190504_201851;0.306;1.518;9.656;0.012;-0.022;-0.003;-22.080;-7.440;-42.900;
20190504_201851;0.450;1.432;9.706;0.004;-0.005;0.030;-22.620;-7.620;-42.840;
20190504_201851;0.357;1.528;9.623;0.014;-0.034;0.016;-22.380;-8.520;-42.840;
20190504_201851;0.378;1.482;9.704;0.036;0.037;0.045;-22.260;-8.340;-42.900;
20190504_201851;0.450;1.508;9.654;0.020;0.008;0.036;-22.320;-8.280;-42.300;
20190504_201851;0.438;1.532;9.579;0.027;0.020;0.028;-21.660;-8.220;-42.600;
20190504_201851;0.462;1.494;9.659;-0.011;-0.007;0.022;-22.680;-8.400;-42.240;
20190504_201851;0.005;1.769;9.730;0.040;0.052;-0.005;-22.500;-7.620;-43.080;
20190504_201851;0.280;1.566;9.800;0.043;0.010;0.086;-22.200;-7.080;-43.440;
20190504_201852;0.196;1.777;9.608;0.065;-0.042;0.067;-22.380;-7.080;-42.060;
20190504_201852;0.441;1.619;9.627;0.062;-0.022;0.110;-21.960;-6.780;-43.140;
20190504_201852;0.749;1.377;9.955;0.075;-0.001;0.198;-22.200;-6.540;-42.600;
20190504_201852;0.419;1.631;9.905;0.157;-0.006;0.097;-22.140;-7.380;-43.260;
20190504_201852;0.376;2.559;10.231;0.299;0.199;0.184;-21.900;-8.040;-44.160;
20190504_201852;0.977;2.502;8.801;0.255;0.197;0.270;-19.620;-8.280;-44.280;
20190504_201852;0.584;3.184;8.526;-0.094;-0.251;-0.028;-19.620;-9.120;-44.100;
20190504_201852;0.534;1.793;8.998;-0.318;-0.174;0.197;-21.240;-8.040;-43.140;
20190504_201852;0.400;1.616;9.632;-0.154;-0.027;0.107;-21.600;-6.780;-43.080;
20190504_201853;0.539;1.868;10.384;-0.189;-0.033;0.112;-22.080;-4.380;-43.740;
20190504_201853;1.281;2.002;9.556;0.225;0.245;0.190;-20.520;-4.560;-43.920;
20190504_201853;-0.012;2.277;9.747;-0.007;-0.056;-0.080;-19.260;-4.860;-45.180;
20190504_201853;0.503;1.664;9.038;0.093;-0.039;0.215;-19.620;-5.940;-44.760;
20190504_201853;0.249;2.078;10.032;-0.098;-0.018;0.259;-18.300;-5.880;-44.940;
20190504_201853;0.204;1.650;9.335;0.186;0.106;0.367;-18.840;-5.340;-43.980;
20190504_201853;0.223;1.918;9.333;0.185;0.259;0.361;-17.520;-4.920;-44.820;
20190504_201853;0.781;0.129;9.663;-0.012;0.147;0.523;-17.340;-2.820;-45.180;
20190504_201854;0.666;1.362;10.018;-0.025;-0.106;0.136;-15.660;-1.680;-45.120;
20190504_201854;0.998;1.288;10.142;-0.048;-0.157;0.104;-16.200;-1.620;-44.520;
20190504_201854;1.415;1.571;9.249;0.221;0.052;0.258;-15.540;-1.200;-44.280;
20190504_201854;2.085;3.156;9.508;0.280;0.091;0.193;-14.700;-1.800;-43.620;
20190504_201854;0.819;3.776;8.385;0.160;0.178;0.005;-14.460;-1.920;-42.660;
20190504_201854;0.646;3.101;7.578;0.139;0.187;-0.047;-14.520;-4.080;-42.420;
20190504_201854;-0.036;1.707;9.987;-0.297;0.122;0.199;-13.020;-2.220;-42.840;
20190504_201854;0.086;3.069;9.742;-0.157;-0.119;0.383;-13.680;-1.500;-43.260;
20190504_201854;0.764;1.573;9.572;0.048;-0.012;0.926;-13.800;0.060;-42.120;
20190504_201855;1.930;2.734;9.335;0.286;0.153;1.170;-11.940;1.800;-42.660;
20190504_201855;1.300;2.974;9.141;0.244;0.318;1.204;-10.620;1.440;-43.740;
20190504_201855;0.579;2.610;8.852;0.173;0.506;1.467;-7.500;1.800;-44.400;
20190504_201855;1.480;2.014;9.283;-0.048;0.679;1.923;-4.140;2.520;-45.420;
20190504_201855;0.117;-0.129;11.222;-0.037;0.727;1.510;1.860;3.420;-45.120;
20190504_201855;-1.381;3.287;8.651;0.302;0.399;1.213;7.260;2.520;-45.840;
20190504_201855;-0.496;2.428;9.381;-0.073;0.470;1.947;12.000;0.600;-45.780;
20190504_201855;0.558;1.245;10.204;0.040;0.434;2.005;13.860;-1.200;-45.900;
20190504_201855;0.795;2.045;9.733;0.263;0.474;1.626;16.620;-4.920;-45.720;
20190504_201856;0.752;3.220;8.691;0.311;0.395;1.202;18.480;-8.520;-44.520;
20190504_201856;0.481;3.259;8.536;0.221;0.431;1.123;18.840;-12.720;-44.160;
